Question,Answer,clean_question
Does this tablet have a OTG cable ?,"I bought this for my 7 year old daughter as a training aid and it did not live up to her expectations. I don't believe it came with the OTG cable. I don't remember seeing one. There is an input for headphones, a pin charger and the mini usb. It cannot be connected to an external keyboard without buying an adapter. The tablet is okay for internet and simple games but not for watching internet videos or movies. It's battery life is about one hour without the charger being connected.",does this tablet have a otg cable
is this kit good for food photography?,"I agree with the other comments, as long as you are not shooting something massive, like a whole buffet spread. This company does make a larger version, however. It is a bit pricey, and of course the larger one more so, but the plastic background is just terrific to use, especially compared to fabric backgrounds. Another reason this is a good choice for food photography is the lamps run cool, so your food won't melt!",is this kit good for food photography
Would a Mini with a Logitech Ultrathin Keyboard Cover fit in an OtterBox case?,"I wouldn't fit, the Otterbox can only hold the iPad, nothing else, except maybe a sheet of paper.",would a mini with a logitech ultrathin keyboard cover fit in an otterbox case
How can I confirm whether my nexus 7 is the first version or the second?,I think the easiest way is to look where the earphone jack is. On the second gen it is on the top. On the older version is on the bottom next to the charging port.,how can i confirm whether my nexus 7 is the first version or the second
Will this fit a Samsung Galaxy S4?,"I don't believe that it will fit John Smith. It just fit my old HTC Amaze, but anything bigger would very likely not fit. (Nvm, I didn't see the other response here about it fitting.)Ram Mounts offers another solution; it's like a large X which has springs in it which clamp down on the phone. This one: http://www.galls.com/ram-mount-universal-x-grip-cell-phone-holder?utm_source=GooglePLA&utm;_medium=cse&utm;_term=VE438&PMSRCE;=20920060&gclid;=COyC2qaVybsCFfJxOgodNiQA4gMy girlfriend has this and it even fits my Samsung Galaxy Note 3. I can't comment on its ability to hold a cell securely when riding a motorcycle off road however. I think it would be fine, but only on terrain which isn't too gnarly. Lol I don't believe that it will fit John Smith. It just fit my old HTC Amaze, but anything bigger would very likely not fit. (Nvm, I didn't see the other response here about it fitting.)Ram Mounts offers another solution; it's like a large X which has springs in it which clamp down on the phone. This one: http://www.galls.com/ram-mount-universal-x-grip-cell-phone-holder?utm_source=GooglePLA&utm;_medium=cse&utm;_term=VE438&PMSRCE;=20920060&gclid;=COyC2qaVybsCFfJxOgodNiQA4gMy girlfriend has this and it even fits my Samsung Galaxy Note 3. I can't comment on... » Read More I don't believe that it will fit John Smith. It just fit my old HTC Amaze, but anything bigger would very likely not fit. (Nvm, I didn't see the other response here about it fitting.)Ram Mounts offers another solution; it's like a large X which has springs in it which clamp down on the phone. This one: http://www.galls.com/ram-mount-universal-x-grip-cell-phone-holder?utm_source=GooglePLA&utm;_medium=cse&utm;_term=VE438&PMSRCE;=20920060&gclid;=COyC2qaVybsCFfJxOgodNiQA4gMy girlfriend has this and it even fits my Samsung Galaxy Note 3. I can't comment on its ability to hold a cell securely when riding a motorcycle off road however. I think it would be fine, but only on terrain which isn't too gnarly. Lol « Show Less",will this fit a samsung galaxy s4
At the end of brewing the filter holder swings open and the latch stops functioning? Why?,When I first started using the Coffee Maker it did this from time to time. Now when I close it I press on the middle and the end to get a secure snap in place.,at the end of brewing the filter holder swings open and the latch stops functioning why
Would this leak if shaken? My husband would use it to mix flavored water. Thanks in advance for answers.,"No it does not leak. The lid is made of glass, and it has rubber around to keep it sealed. We love ours!",would this leak if shaken my husband would use it to mix flavored water thanks in advance for answers
"will this grip fit a P229, 40 cal, newer pistol with a rail","Tony, I put these on a newer P229 .40 cal with a rail and they fit great. Just note, they are a little thicker than the plastic so better for bigger hands.",will this grip fit a p229 40 cal newer pistol with a rail
How much chlorine do you use with this? Do not like the chlorine if I don't have to use it I will be happy or an alternative. Our tub is 140 gallons. Thank you,No chlorine. We only use the potassium peroxymonosulfate (oxygen oxidizer) maybe once a week. Remember to change stick every 3-4 months.,how much chlorine do you use with this do not like the chlorine if i dont have to use it i will be happy or an alternative our tub is 140 gallons thank you
"Your new battery was not fully charged and is not recognized by my phone. ""Charged""/plugged in all night too JIC. How can I fix this?",My experience was equally bad. Doesn't hold a charge. Have to plug on during the day,your new battery was not fully charged and is not recognized by my phone chargedplugged in all night too jic how can i fix this
"Pentax Optio W2 Kit Wondering what the ""kit"" includes?","ProMaster is FujiFilm cameras, correct? This is regarding the Pentax camera kit.",pentax optio w2 kit wondering what the kit includes
I have an external SATA drive that I would like to use as an external hard drive for my iMAC. will this work on a daily basis ?,"Probably not. The connection to the power supply is very loose. If you can secure that, then maybe. For daily use, I'd recommend getting a docking station.",i have an external sata drive that i would like to use as an external hard drive for my imac will this work on a daily basis
Will this fit a 4matic sports package? The front discs on these models are bigger,"I don't think the answer given is correct. I have a 2010 C300 4matic sport, and these are the exact same size as stock.",will this fit a 4matic sports package the front discs on these models are bigger
Does this product work with Kindle Fire?,"This product can be modified to charge any device that charges via usb. With that said, if you don't feel comfortable performing modifications, look elsewhere. I do plan on integrating it into my children's tablets when they break the usb charging port.",does this product work with kindle fire
Will this work with my Pyle Astro tablet?,"Thanks for contacting us. It could work with your Pyle Astro tablet as long as this tablet supports external TF card. Thanks Best regards,",will this work with my pyle astro tablet
show all the total ingredients?,http://www.digestiveadvantage.com/digestive-advantage-gas-defense-formula-32-count,show all the total ingredients
Is this solid oak or does it have a veneer on the top,"I don't believe it has veneer on it. I like it. However, if you have children and do art projects on it the grooves will get all kinds of things in them. It can be Clean with a wet cloth. (I'm a neat freak). If you have children I would advice you get one with a flat surface. It is easier to clean. Good luck. I hope I helped you.",is this solid oak or does it have a veneer on the top
Do people prefer the liquid form of CLP or the aerosol form? Which form is better and why?,"I use both. After shooting, I use the foam as directed, then I use the liquid cleaner and let sit in the barrel BORE DOWN for 3-7 days. After that you will see bore residue hopefully on a towel or rag) indicating more fouling has been removed. After running two or three dry patches through the bore, I run a wet patch through and store bore down.",do people prefer the liquid form of clp or the aerosol form which form is better and why
"I read it charges the phone at half the speed of a wired charger. For example, instead of 2 hours for a full charge, it takes 4. Is that true or is it about the same?","Its partially true. Mine takes around a little under 3 hours. For me that's ok since I have mine set aside the bed. At night I just drop it on the charger and I know I got it right when the green light comes on. Before I struggled trying to plug it in, especially when I was lying down and the light was off...lol",i read it charges the phone at half the speed of a wired charger for example instead of 2 hours for a full charge it takes 4 is that true or is it about the same
"How tall is the faucet? Does it go very far, or too far, over the sink, so as to be in the way? Also, does it swivel out of the way?","From the base of the faucet where it attaches to the sink at it's highest arch is about 10 inches tall - and it stretches about 5 inches out into the sink area. It does swivel. It isn't a lot in the way but you do have to watch what you're doing if you're using that area of your sink - I was moving a little too fast one time and knocked a pan into the faucet - that blow loosened the faucet - not at the base where it's attached, but where the water comes out - so now it wobbles a bit. But no leaks and water comes out fine. So as far as being in the way - it won't keep you from doing dishes, or washing vegetables etc. - the main thing you have to do is avoid hitting it with a hard blow, otherwise, it will cause it to loosen up. I couldn't tighten it down after that happened with mine - so I figured I broke something. So I leave it alone and just use it otherwise, I'm afraid I could break it further and it would become completely dislodged. I had one before from a local water company that was more expensive - therefore it was more sturdy and heavier. This one is lighter weight and doesn't withstand a blow as well as perhaps a heavier weight faucet. I like the valve that turns the water on - easy to use and lots of good water pressure.",how tall is the faucet does it go very far or too far over the sink so as to be in the way also does it swivel out of the way
I need to extend the speaker wire. What gauge speaker wire should I get or does it matter?,The comment below is absolutely right I believe its a 14 gauge wire the same size or bigger is the best.,i need to extend the speaker wire what gauge speaker wire should i get or does it matter
My coffee keeps turning out very watery. Can anyone tell me the best way to use this coffee maker? I bought a display and there aren't directions.,1) Be sure to use coarsely ground coffee - either grind it yourself or in the store but it must be coarse - not the relatively find grind in pre ground coffee in tins 2) I suspect you can find a manual online (it is quite brief) if you cannot find it I will scan and pdf the 3 important pages and send them,my coffee keeps turning out very watery can anyone tell me the best way to use this coffee maker i bought a display and there arent directions
How to make drainage holes in this product? I need this outdoors.,I did not think it needed any since it has that lift tray in the bottom. You could just use a drill and drill several holes in the bottom.,how to make drainage holes in this product i need this outdoors
Is the coating safe if you have birds?,"In my opinion,this a very safe product and I have cooked many birds in ours. The responsive heat controls are a help whether cooking chicken,squab,wild duck or pheasant. We have also cooked turkey parts and have detected no evidence of toxicity in over two years of use.",is the coating safe if you have birds
Is this product the right choice to replace/upgrade the hard drive of a Lenovo Ideacentre A600 All-in-One desktop?,"I'm not familiar with your machine. If it uses 3.5"" SATA hard disk. This would be the one to use.",is this product the right choice to replaceupgrade the hard drive of a lenovo ideacentre a600 allinone desktop
Will the Clarion NX501 Fit in a 1999 Ford Expedition Eddie Bauer,"I am not sure, you could go to Crutchfield website. Even though they may not sell it anymore they still might have a configure generator to see if it fits your vehicle. It is a double din radio. I had it in my Dodge Dakota but did a lot of modifications to make it work.",will the clarion nx501 fit in a 1999 ford expedition eddie bauer
"I have a hot tub cover that measures 46"" when folded in half, will this hold the cover? I see dimesions are on 31"" long.","yes, they are very heavy duty and hard plastic and should hold it just fine",i have a hot tub cover that measures 46 when folded in half will this hold the cover i see dimesions are on 31 long
"Does this work for NEX 5RK? Also comparison w Sony RMTDSLR2 Wireless Remote for Alpha & NEX, (Black) please","It works for the NEX-7. I suggest you check to see if the remote Sony sells for their cameras is the same one for both the NEX-7 and the 5RK. It it is, it'll work.",does this work for nex 5rk also comparison w sony rmtdslr2 wireless remote for alpha nex black please
would this machine work for applying iron-on vinyl to t-shirts?,"Sort of. I used it to put on T-shirt stretchable fabric transfers. I had to press them about 5 times before they would transfer. Then after I took off the paper backing, I had to cover them with parchment paper and re-do the corners. I tried to use it to put on Inkjet Shirt transfer and they wouldn't transfer at all. I had to use a regular iron to complete my task. It does a great job on my husband's dress shirts, though.... Hope this helps.",would this machine work for applying ironon vinyl to tshirts
Is this car good for a 5 year old girl?,"Yes, my 4 year old daughter loves it. The only problem is we bought 2 (the yellow corvette-sh one) and since it only works on one channel one remote will control both cars at the same time. She and her 3 year old sister still play with them though, they line them up to race side by side.",is this car good for a 5 year old girl
"Can this be mounted on a 3"" wide board, or does the board have to be wider?",You don't actually mount it on a board. It's substitute filler for a 3 inch wide Filler panel like you get in cabinet section of hardware store. It goes between wall mounted cabinet pieces. But it is 3 inch wide yes,can this be mounted on a 3 wide board or does the board have to be wider
is this for cold water,"Not really, its more of a rash guard type shirt. It is definitely not as thick as even a 1mm wet suit shirt",is this for cold water
can this be use on a aluminum tool box,"Sure. I would recommend sanding(roughing up the surface) first. It's not the best quality bed liner paint, but it's affordable and good enough for my older trucks.",can this be use on a aluminum tool box
what are the dimentions of the finished puzzle?,"The finished puzzle measures 76"" x 54"". You're gonna need a bigger table....",what are the dimentions of the finished puzzle
Will this film work in a Victor Cine Model 4?,The Victor Cine Model 4 looks as if it predates the Super 8mm format. It probably only accepts either Standard 8mm or 16mm film. That's my best guess anyways.,will this film work in a victor cine model 4
will it strip phone wire,Never tried it but the adjustments go down pretty small. I dont use mine very much. Works good if you are stripping the same gauge wire all the time. Pain to constantly adjust the guides.,will it strip phone wire
what is the diameter of the tubes? Can each tube fit two 3d fat arrows?,I think it is just a bit larger than the diameter of a quarter. I fit 2 to 3 arrows eassiy. but I think for fat arrows you could fit two.,what is the diameter of the tubes can each tube fit two 3d fat arrows
"Is this light fixture a wall plug unit? If so, is there like a sheathing that goes over the cord for coverage?","Yes, the units I have plug into wall sockets with a two-prong plugs. Each came with two-piece cord cover that is 30 inches when connected.",is this light fixture a wall plug unit if so is there like a sheathing that goes over the cord for coverage
"Anyone have one with quite a loud grinding noise? Replaced one which kept stopping &amp; got one a lot louder, wondering if I exchange again",Does it just do it at first? Mine always makes a loud grinding noise until it actually starts swinging good.,anyone have one with quite a loud grinding noise replaced one which kept stopping amp got one a lot louder wondering if i exchange again
will this fit a 2014 gmc sierra 1500 crew cab base pkg?,I am not sure. My 2008 suburban very well. I believe there's been a body style change 2011 2014,will this fit a 2014 gmc sierra 1500 crew cab base pkg
Will I go to Hell if I just make my own Squatty Potty with scrap lumber?,"No, but look at it this way: it's $25 and it is specifically designed to do exactly what it should. You are likely worth more than $25/hour and it will take you longer than an hour to make your own. Plus, it looks better than one out of scrap lumber.",will i go to hell if i just make my own squatty potty with scrap lumber
is this unit usable with cardstock?,"It should be ok for use with card stock, but as is the case with any thicker paper, it is just naturally more opaque.",is this unit usable with cardstock
Can you open it up and use your own sand?,"No, I do not see anyway to open it. The sand it comes with is black, but it looks very nice with the Bronze.",can you open it up and use your own sand
"My 9"" Mattress has been opened for 15 hours now and is still extremely soft, although it looks to be fully expanded. How long until it gets firm?",I'm not sure what you or the other review are talking about - mine is too firm if anything. I actually have a softer 1/2 inch pad on it. If you're having trouble with it I would call the manufacturer or Amazon. Amazon is spectacular with order issues and Brentwood is a US company which means they'd be easy to contact and deal with. Good luck with your order!,my 9 mattress has been opened for 15 hours now and is still extremely soft although it looks to be fully expanded how long until it gets firm
"the phone says 5.08, is this phone close to a 5.1 inch screen or is it 5.8 inch, close to a 6 inch? screen?",The phone is actually bigger than the galaxy note 2 however they are not boxed shaped like this phone. This phone is no way near a 6 inch I have the 6 inch & its to big. But overall this phone is big too closer to 5.1 inches,the phone says 508 is this phone close to a 51 inch screen or is it 58 inch close to a 6 inch screen
Can I use this product to regret shower tiles?,"I would say yes, but it depends if the correct tile board was put up first.ThanksNMG",can i use this product to regret shower tiles
rolling resistence? fast enough for winter training?,"Don't know if this will be helpful? I run your tire in front and Marathon plus in back. Your tire I keep at 90lb in summer and winter at 75 for a little better control in snow. Really like both tires as I use them can't complain at all. Wear is good, traction in hard turns on concrete is real good. I had some problems with your tire with flats on the back of my recumbent so I went to the Marathon plus and have had better luck with that and still had the same good overall performance in the other area. I would recommend this tire, I ride 3000 to 3500 miles a year. Hope this helps.",rolling resistence fast enough for winter training
What would you say the weight limit is for this chair?,Our roommate is about 6'2 and he weighs 180 or so and sits comfortably in this chair. It seems to be very sturdy.,what would you say the weight limit is for this chair
Does this power adapter really come with a 9v battery only type effects pedal connector like pictured in green?,"No. When I bought mine it had two red cables (line 6 pedals) and 8 standard negative center pin. Have to buy the others separately. Voodoo lab replacement cables work with it as well, little easier to obtain.",does this power adapter really come with a 9v battery only type effects pedal connector like pictured in green
"with the grip base on camera, will it fit in the jacket case or cyber-shoot RX100 comfortably?",The grip fits perfect in the camara but maybe you could have a problem with the case if it is very tight. I have a general case from Sony and it fits very well with the camara and grip base.,with the grip base on camera will it fit in the jacket case or cybershoot rx100 comfortably
What kind of Grind coffee for this machine? Is it Drip grind?,"I buy regular ground coffee (Starbucks, Dunkin Donuts) or beans which I grind. I recommend regular ground coffee, or grind the beans yourself. Do not grind the coffee to a powder (like for espresso). I LOVE this machine - and it looks cool with the nice shade of turquoise blue light at night. It makes noticeably good coffee!",what kind of grind coffee for this machine is it drip grind
"How long are the slots, i.e., will it handle wide artisan breads?","The slots appear to be about 1-1/4"" x 5"", so your bread would need to be slightly below those dimensions.",how long are the slots ie will it handle wide artisan breads
does it lie flat when opened?,"Hello, Marie. Yes, the binder itself does lie flat. Once it's loaded up with contents, that's another matter, obviously. Regards, Bill Hinds",does it lie flat when opened
How easy is this to use-can you use 2 fingers on the spray or is it the single button type? My hands are very weak / crippled but can use some sprays.,It is very easy to operate with one finger but you could use two fingers if necessary. Spray where you need it and then rub in as necessary so that your hands are clean when applying the Spray and Go. it is a great product.,how easy is this to usecan you use 2 fingers on the spray or is it the single button type my hands are very weak crippled but can use some sprays
"Are you able to pour a little out easily, or do you need to put it into another container to use it easily?","It can be poured, but I use pipettes to keep everything sterile when using essential oils.",are you able to pour a little out easily or do you need to put it into another container to use it easily
how good is the scope?,"Its only a red dot sight. Not a real scope. If you want an actual 9x32 scope, youll have to get it from a store like Academy or such or even from on here but itll have to be separate.",how good is the scope
will they fit my 6mm pistol?,"Yes, the label clearly states they fit 6mm pistols, and I use them in a rifle as well. I would recommend a heavier weight, .20g, versus the .12 gram offering. It will be more accurate.",will they fit my 6mm pistol
The seat on this bike: Does anybody know if either of the Sunlight seats actually fit this bike?,"One warning - Do NOT buy the Cloud-9 gel seat that is sold as part of a ""package deal"" on Amazon. The seat does NOT fit this bike seat post, and the adaptor kit is $29.95, which is MORE than the cost of the seat itself. I'm very disappointed that the seat being sold with the bike is not even compatible with it. :(",the seat on this bike does anybody know if either of the sunlight seats actually fit this bike
does this include both diaphragm and ring?,"Yes, if your talking about the small plastic ring that holds the diaphragm in place. I received everything needed to completely replace mine. I had broken the ring on mine but lost the diaphragm.",does this include both diaphragm and ring
My hips are 41; would I still use a medium?,I think I would get the large. I have 35 1/2 inch hips and feel that this fits me very well!,my hips are 41 would i still use a medium
"what does ""flame boxed"" mean in your description on Amazon?",I think that was a typo. Frame boxed probably means the dimensions of the frame when it is folded. I hope I didn't answer a rhetorical question. Lol,what does flame boxed mean in your description on amazon
How do you power it off?,To turn it off just hold the back and the down button at the same time. This is not the same as sleep mode. To make the zune sleep just hold the play button until the screen turns dark then lock it.,how do you power it off
the product has included the hard disk ??can be used in RAID 1 or 5,"sorry for my first reply, hit the wrong key. it has included the hard disks, you will find it also without it so you can chose the hd size you want in it. i do not know if can be used in raid 1 or 5, sorry.",the product has included the hard disk can be used in raid 1 or 5
Will this fit a speaker stand?,No It is too small. As noted by others it is heavy and the set screw was damaged (could not hold weight). I modified to fit cymbal stand and it works great for me.,will this fit a speaker stand
after reading reviews I want to buy replacement discs so after colors fade we can replace- will you sell additional discs for additional price?,We have had ours for over 2 years. Last year it definitely started to fade. We will be buying another.,after reading reviews i want to buy replacement discs so after colors fade we can replace will you sell additional discs for additional price
Does the umbrella fold down to a small size?,"This umbrella folds down to a long stick style, which some may find undesirable. Considering all the other attributes of this umbrella, you'll easily be able to live with the fact that this does not fold to go in your purse. I absolutely love this thing!!",does the umbrella fold down to a small size
will the i5phone in the otterbox fit in this holster,No. The otter box is too big. I use a tech21 impact case. Also used the Spec case.,will the i5phone in the otterbox fit in this holster
when i purchased it cooled to 61 now I cant get below 74,I bought that and another similar product. Both were fairly useless. I'd save the frustration and return it. It may do ok in a very small self contained space but won't compare to a window unit.,when i purchased it cooled to 61 now i cant get below 74
"Does this booster easily install? The front seat needs to be shared, so I'm looking for something I ca easily move in and out. Thanks.","Yes, I put in the front seat when I use it the car. She also uses it as her bed.",does this booster easily install the front seat needs to be shared so im looking for something i ca easily move in and out thanks
Will the stroller tripped off if my 3 toy dogs stay on one side of it?,We have never had a problem with the stroller tripping off with our 3 dogs.,will the stroller tripped off if my 3 toy dogs stay on one side of it
Any idea good way to unfold? Item arrived folded in half. Looks like it would crack easily upon unfolding.,"It didn't crack. I'm pretty sure I put mine upside down in the livingroom for a day with slightly heavy objects (books, 5 pound weights) on it.",any idea good way to unfold item arrived folded in half looks like it would crack easily upon unfolding
Has anyone tried it with an Xbox One or PS4?,"I have not tried it myself but as long as the output is 1-bit serial digital and you are driving a stereo analog input, you should be fine. I had an old stereo amp I used for awhile for my tv that drove 160 watt speakers and it was great. So the unit did not add any appreciable hum in the output.",has anyone tried it with an xbox one or ps4
Do you have to wear this across the body or can you carry it on your shoulder as well?,Either works well. Over the shoulder if your just walking. Accross the body if your on your bike.,do you have to wear this across the body or can you carry it on your shoulder as well
Can you use it with a First Years Ignite stroller?,"I'm not familiar with that stroller, but it will fit anywhere. It will velcro around safety straps or just stay in place held by your baby's head.",can you use it with a first years ignite stroller
"I'm thinking about getting this camera. However, I do not want to spend more money on lens at this time. Is the camera even worth it with kit lens?","Nope. The camera will break on you. Everytime I take a picture with mine is says ""camera error"" buy a canon.",im thinking about getting this camera however i do not want to spend more money on lens at this time is the camera even worth it with kit lens
How do these Crossbow shoot & are they made well I am wanting to buy the wife a xbow so she can shoot with me,"The crossbow is really good for the price. It's very accurate and shoots pretty good. Well built, easy to put together, and fits both left and right handed shooters. Overall great bow for starters.",how do these crossbow shoot are they made well i am wanting to buy the wife a xbow so she can shoot with me
"I have 200Mbps fiber plan.When I'm using a powerline b/w router & PC, I'm getting 100Mbps via speedtest.net. Can I get 200Mbps by using WUMC710?",I get about 472Mbps on a 500Mbps plan with the WUMC710 using a Netgear AC1900 router on both my PC and Mac.,i have 200mbps fiber planwhen im using a powerline bw router pc im getting 100mbps via speedtestnet can i get 200mbps by using wumc710
how long will the batteries last,"Unknown: we took on three week trip & seems like we used couple hours most of those days before returning home, so still untested for us, sorry. Good ????",how long will the batteries last
Are the shelves movable?,No...It is a very well made piece of furniture however. I am very happy with the quality. I am using it inside but it would be fine on a patio. Very happy with the purchase. Hope this helps,are the shelves movable
How long are the cords? CNET says they are on the short side and I would like to know if these will work with my sit/stand desk.,"To be honnest they are really really shorts... I've a dual monitor with 1 27"" and 1 21"". One speaker on extreme left and the other one on extreme right. The sub is under my desk.Cords were not long enought and are proprietary plugs. It looks like PS/2 cable but the sound was awfull with a simple PS/2 cable. I finally cuted the cable of the left speaker and I added some lenght with an alarm cable like this one http://www.china-cablewires.com/images/products/2012031913334607979324w1000h1000uzjaomei/fire-alarm-cables-shielded.jpgBut dont forget that you'll void warranty doing that.And another point, the sound is good BUT there's a constant background noise, so I'm not really happy with that... To be honnest they are really really shorts... I've a dual monitor with 1 27"" and 1 21"". One speaker on extreme left and the other one on extreme right. The sub is under my desk.Cords were not long enought and are proprietary plugs. It looks like PS/2 cable but the sound was awfull with a simple PS/2 cable. I finally cuted the cable of the left speaker and I added some lenght with an alarm cable like this one http://www.china-cablewires.com/images/products/2012031913334607979324w1000h1000uzjaomei/fire-alarm-cables-shielded.jpgBut dont forget that... » Read More To be honnest they are really really shorts... I've a dual monitor with 1 27"" and 1 21"". One speaker on extreme left and the other one on extreme right. The sub is under my desk.Cords were not long enought and are proprietary plugs. It looks like PS/2 cable but the sound was awfull with a simple PS/2 cable. I finally cuted the cable of the left speaker and I added some lenght with an alarm cable like this one http://www.china-cablewires.com/images/products/2012031913334607979324w1000h1000uzjaomei/fire-alarm-cables-shielded.jpgBut dont forget that you'll void warranty doing that.And another point, the sound is good BUT there's a constant background noise, so I'm not really happy with that... « Show Less",how long are the cords cnet says they are on the short side and i would like to know if these will work with my sitstand desk
how many inches are the main blades from eyelet to tip?,right at 8 1/2 don't make the mistake I made I needed 033 but well if you have blades you sooner or might get the bird they go to Right?,how many inches are the main blades from eyelet to tip
how high is it when unfolded,"it's about 14"" height when in position ( unfolded and assembled ) ready to use ..",how high is it when unfolded
"Can you screw this onto a faucet? (person I want to get it for likes washing their hair in the sink/she has a thin, long neck faucet).",I doubt it. The threads on most showers are on the exterior of the pipe. The shower head or attachment is threaded on its interior. The piece screws ONTO the pipe. Sinks are usually the reverse of that. The small screened attachment screws INTO the faucet.,can you screw this onto a faucet person i want to get it for likes washing their hair in the sinkshe has a thin long neck faucet
which TVwould be better this Samsung or LG Electronics 42LB6300 42-Inch 1080p 120Hz Smart LED TV (2014 Model),"If there is ever any light on in the room where you will have the TV, don't buy this. It reflects something awful. When sunlight shines into the room, or even when a lamp is on, you can see the reflection of anything in front of the TV when light shines on those objects.Also when you try to adjust the TV color, it greys out the screen so you can't get true colors when in the adjustment menu. I hate this TV.",which tvwould be better this samsung or lg electronics 42lb6300 42inch 1080p 120hz smart led tv 2014 model
Can you set the temperature ti a specific number (e.g. 350) or are you limited to the pre programmed foods?,Yes you can set the temp it is preset but you can do it to fit your needs this is a great fryer to have it works very well.,can you set the temperature ti a specific number eg 350 or are you limited to the pre programmed foods
can you turn off some alerts,"Yes. I turned off my severe thunderstorm watch, but kept the severe thunderstorm warning. It went off twice last Sunday and I'm sure it'll go off a lot tonight (severe thunderstorm warning, tornado warning, flash flood, etc) with the latest severe weather headed for E. Texas. Turned off 3 others.",can you turn off some alerts
How well does it cook on a conventional electric stove?,"It cooks very well, My stove i s glasstop electric stove, you have to wait a little bit longer than in direct fire to get it ready but jsut a few minutes, it worth it",how well does it cook on a conventional electric stove
why did you send me a damaged item and why were the screws already opened????,"Hello, I apologize for the trouble you experienced with your order. Please contact customer service directly. They will be able to assist you. Here's a link to their contact form:",why did you send me a damaged item and why were the screws already opened
Is this actually a 3 way tweeter>A tweeter with 2 mini tweeters mounted on it?,"no its just a single Tweeter , I don't understand why they advertise it like that",is this actually a 3 way tweetera tweeter with 2 mini tweeters mounted on it
"Can it be rolled for storage? If so, how tight a diameter? Also, if so, is it hard to flatten back out after being rolled for a few days?","Storing flat will save you the most space. If you were to roll it, it would crack. It's very sturdy.",can it be rolled for storage if so how tight a diameter also if so is it hard to flatten back out after being rolled for a few days
where does the rubber seal go on the camco hybrid heat for rv?,"If you are talking about the rubber grommet, you have to drill a 5/8 or 1/2 inch hole in the sheet metal, without drilling through the tank, and your wires go through it. Hope this helps.",where does the rubber seal go on the camco hybrid heat for rv
Will it fit Subaru b9 tribeca 2006?,"if you do a SEARCH and enter the vehicle and size - PRIME will tell you (upper left of page, as I recall) if it ""FITS"" or ""WILL NOT FIT"" (in red)",will it fit subaru b9 tribeca 2006
Will my 21 month old b able to climb on herself? How far is the step from e top?,Your 21 month old should be just fine to get up. I had no problems with my daughter using it.,will my 21 month old b able to climb on herself how far is the step from e top
formatting for lumix dmc tz5: How do you format this card to work with the Panasonic lumix dmc tz5?,"Insert card into camera.w/ camera set to view pictures, press menu button. arrow down to the icon of the little wrench (that's setup). Arrow down/thru 5 pages til you see format. it will say ""delete all data?"" (make sure there are no pictures on the card you want to keep or they will be gone once you hit yes. Hope that helps. If you have any ?? lmk As I also have this camera.",formatting for lumix dmc tz5 how do you format this card to work with the panasonic lumix dmc tz5
does it remove chlorine,"Yes, that is why I bought one. Go to http://www.vitashowercorp.com for info.",does it remove chlorine
is it just screen or it contains the digiter too?,It comes with everything you need to replace the front including the digitizer.,is it just screen or it contains the digiter too
Does this contain the active ingredient in anti-persparant?,No. It is a salt crystal--all natural ingredients. Lasts 24 hours with no residue. I love it.,does this contain the active ingredient in antipersparant
Will and can you use this to heat a pop-up camper?,I would not use it in a camper because it runs like a jet engine. You probably want a heater that does have a high speed blower.,will and can you use this to heat a popup camper
how do u put your phone inside the case,You slide the black part at the bottom of the case away from the little metal hook for the camera strap. Then you just slide your phone into that opening,how do u put your phone inside the case
"I am having a difficult time with the diagram on how to use them. Do you have some printed instructions? Please respond asap , thank you","Twist it Counterclockwisejust a littlle bit while holding the concave base then pull up on the entire upper portion, this will be the evacuation of air action when on the bottle. Test the action to understand the proceedure before using on wine bottle to understand the function.",i am having a difficult time with the diagram on how to use them do you have some printed instructions please respond asap thank you
I have a 5 bedroom 3BA house with 5 occupants. is this the right unit for me?,"I believe this unit is too small for your needs. If this unit is intended to be used as a whole house water heater, then you need a larger unit.",i have a 5 bedroom 3ba house with 5 occupants is this the right unit for me
Has anyone experienced an echo complaint from people they were talking to?,"No I haven't. It's a good Bluetooth. The only thing you might experience is that some people can't hear you well. It must be their phone system or their phone, but when I talk to most of my friends, they can hear me very clear. I like it.",has anyone experienced an echo complaint from people they were talking to
Can you freeze this toy like Kong and is it easy to wash?,"I have put it in the dishwasher.The little tabs on the hole make it unnecessary to freeze the treats inside, unless you want them to last longer. I just use dog food kibble. But it would probably freeze just fine.",can you freeze this toy like kong and is it easy to wash
Why does the plastic makes so much less hp than the aluminum? I though aluminum was inferior due to heat soak.,"I think it might be in the design, I have the alum. and I can see and feel the difference.",why does the plastic makes so much less hp than the aluminum i though aluminum was inferior due to heat soak
Does the seat swivel or is it fixed?,No swivel. It does adjust front to back. I would suggest that once its adjusted where the boat is level on the water with rider to place clamps so it won't move. If it moves while loaded and floating its almost impossible to readjust. And makes for a long row back to shore. It is still Awesome boat..you won't be disappointed.,does the seat swivel or is it fixed
"Hi, I will buy right now the used iPad white retina 3rd gen for $269.99+ship.The ones you have there, for this price already include the smartcover?","Mine came with the Bluetooth keyboard, which made a hard case for storage when you put the two together; and a screen cover. I did buy an external case later. Does this help?",hi i will buy right now the used ipad white retina 3rd gen for 26999shipthe ones you have there for this price already include the smartcover
